rank,_row_id,asin,product_name,brand,price,type,connectivity,noise_cancellation,battery_life,bluetooth_version,driver_size,weight,water_resistance,microphone,review_rating,review_count,description
11,4,B0756CYWWD,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",8,279.0,6,2,1,53.0,5.2,40.0,8.3,7,2,4.7,67934.0,"What happens when you clear away the noisy distractions of the world? Concentration goes to the next level. You get deeper into your music, your work, or whatever you want to focus on. That's the power of Bose QuietComfort 35 wireless headphones II. Put them on and get closer to what you're most passionate about. And that's just the beginning. QuietComfort 35 wireless headphones II are now enabled with Bose AR — an innovative, audio-only take on augmented reality. Embedded in your headphones is "
12,14,B00004SY4H,Sennheiser HD 600 - Audiophile Hi-Res Open Back Dynamic Headphone,23,312.01,6,2,1,50.0,5.0,40.0,9.171,5,2,4.6,6134.0,"Product Description With the HD 650, audiophiles will experience truly unique natural sound. With sound this good, long concerts in the comfort of your home are a certainty, so the HD 650 also sets standards in comfort and convenience. The HD 650 is a genuine masterpiece, which will satisfy even the most demanding listener. HD 650 the Reference Class. From the Manufacturer Sennheiser HD 600 The HD 600 is an audiophile-grade open dynamic hi-fi/professional stereo headphone. The advanced diaphragm"
13,1,B08MVGF24M,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Midnight Blue WH1000XM4",24,228.0,6,2,1,44.0,5.0,40.0,16.0,7,2,4.6,61071.0,"Sony's intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear. Get up to 30 hours of battery life with quick charging capabilities, enjoy an enhanced Smart Listening feature set, and carry conversations hands-free with speak-to-chat."
14,3,B0CCZ26B5V,"Bose QuietComfort Bluetooth Headphones, Wireless Headphones with Active Over Ear Noise Cancelling and Mic, Deep Bass, Up to 24 Hours of Playtime, Black",8,359.0,6,2,1,50.0,5.0,40.0,8.4,7,2,4.6,13623.0,Go beyond the beat and take control of the sound that puts you on top of the world with Bose QuietComfort Wireless Noise Cancelling Headphones. Experience powerful high-fidelity audio with legendary noise cancellation in these wireless Bluetooth headphones that allow you to block everything out but the beat and control what you hear. These Bose wireless headphones feature new custom modes that give you the power to adjust noise cancellation based in the moment and the option to turn on Wind Bloc
15,42,B0C3KWT5V6,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode",25,44.99,6,2,1,40.0,5.1,40.0,9.1,7,2,4.6,37894.0,
16,22,B000AJIF4E,Sony MDR7506 Professional Large Diaphragm Headphone,24,92.64,6,2,1,44.0,5.4,40.0,8.1,7,2,4.7,27005.0,"Product Description Sony MDR7506 Professional Stereo Headphones are ideal for sound monitoring in recording studios, radio, film production, video, electronic news gathering - and virtually any application where high quality sound is required. The closed-ear design MDR-7506 is outrageously popular in pro and home recording studios. It features a rugged design, convenient folding construction, 40mm driver units, gold connectors and a professional-quality OFC (oxygen free copper) cord. Sony 7500 S"
17,5,B098FKXT8L,Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,8,159.99,6,2,1,32.0,5.1,40.0,15.7,7,2,4.6,16958.0,"The first noise cancelling headphones are back, with world-class quiet, lightweight materials, and proprietary technology for deep, clear sound. Bose QuietComfort 45 headphones aren't just an icon reborn – they're the perfect balance of quiet, comfort, and sound. Plus, everything that made the first around ear headphones an icon is still here. Just refined. Like an updated design with smooth cushions and a clean look. Plush synthetic leather, impact-resistant glass-filled nylon, and cast-metal h"
18,12,B07Q7S7247,"Sennheiser HD 599 - Open Headphones, Special Edition, Black, Wired",23,114.04,6,2,1,93.0,5.4,50.0,9.0,7,2,4.5,8901.0,"HD 599 open back delivers natural spatial performance. Thanks to the Sennheiser 500 series, the full-size headphones offer near audiophile sound quality levels and adequate comfort thanks to the large earmuffs and soft, replaceable ear pads."
19,66,B07Q8SX5WC,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Black/Gray)",28,25.99,6,2,2,89.0,5.4,40.0,10.6,7,1,4.4,84072.0,ZIHNIC Bluetooth headphones over-ear with foldable wireless and wired stereo headset.
20,21,B00HVLUR18,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black (AUD ATHM20X)",3,58.0,6,2,1,89.0,5.0,10.0,7.4,5,2,4.5,26954.0,"The ATH M20x professional monitor headphones are a great introduction to the critically acclaimed M Series line. Modern design and high quality materials combine to deliver a comfortable listening experience, with enhanced audio and effective isolation. An excellent choice for tracking and mixing. More About the M Series Headphones Critically acclaimed M Series professional monitor headphones deliver accurate audio and outstanding comfort, perfect for long sessions in the studio and on the go. C"
